Points	Interferogram
745	-1.93E-04
746	-1.88E-04
747	-2.14E-04
748	-2.65E-04
749	-2.97E-04
750	-2.59E-04
751	-1.58E-04
752	-5.98E-05
753	-2.19E-05
754	-5.67E-05
755	-1.34E-04
756	-2.04E-04
757	-2.25E-04
758	-1.96E-04
759	-1.56E-04
760	-1.50E-04
761	-1.88E-04
762	-2.31E-04
763	-2.45E-04
764	-2.36E-04
765	-2.28E-04
766	-2.28E-04
767	-2.37E-04
768	-2.45E-04
769	-2.35E-04
770	-2.11E-04
771	-1.92E-04
772	-1.81E-04
773	-1.63E-04
774	-1.31E-04
775	-9.43E-05
776	-7.45E-05
777	-9.40E-05
778	-1.52E-04
779	-2.09E-04
780	-2.16E-04
781	-1.64E-04
782	-9.23E-05
783	-6.50E-05
784	-1.23E-04
785	-2.48E-04
786	-3.65E-04
787	-4.05E-04
788	-3.55E-04
789	-2.53E-04
790	-1.51E-04
791	-9.32E-05
792	-1.00E-04
793	-1.58E-04
794	-2.23E-04
795	-2.56E-04
796	-2.42E-04
797	-1.78E-04
798	-6.91E-05
799	5.28E-05
800	1.08E-04
801	2.75E-05
802	-1.68E-04
803	-3.74E-04
804	-4.87E-04
805	-4.62E-04
806	-3.23E-04
807	-1.58E-04
808	-7.66E-05
809	-1.33E-04
810	-2.79E-04
811	-4.08E-04
812	-4.42E-04
813	-3.71E-04
814	-2.29E-04
815	-5.44E-05
816	9.87E-05
817	1.57E-04
818	8.32E-05
819	-8.94E-05
820	-2.87E-04
821	-4.27E-04
822	-4.36E-04
823	-3.09E-04
824	-1.33E-04
825	-4.24E-05
826	-1.12E-04
827	-3.02E-04
828	-4.94E-04
829	-5.82E-04
830	-5.22E-04
831	-3.44E-04
832	-1.32E-04
833	1.98E-05
834	6.06E-05
835	5.51E-06
836	-1.05E-04
837	-2.36E-04
838	-3.33E-04
839	-3.37E-04
840	-2.35E-04
841	-9.48E-05
842	-1.13E-05
843	-4.48E-05
844	-1.97E-04
845	-4.01E-04
846	-5.47E-04
847	-5.51E-04
848	-4.17E-04
849	-2.33E-04
850	-9.51E-05
851	-5.25E-05
852	-9.25E-05
853	-1.74E-04
854	-2.59E-04
855	-3.12E-04
856	-3.02E-04
857	-2.26E-04
858	-1.23E-04
859	-4.07E-05
860	-1.10E-05
861	-6.18E-05
862	-1.92E-04
863	-3.38E-04
864	-4.11E-04
865	-3.77E-04
866	-2.69E-04
867	-1.45E-04
868	-5.95E-05
869	-5.24E-05
870	-1.29E-04
871	-2.43E-04
872	-3.28E-04
873	-3.52E-04
874	-3.25E-04
875	-2.57E-04
876	-1.60E-04
877	-7.68E-05
878	-5.47E-05
879	-1.05E-04
880	-1.97E-04
881	-2.92E-04
882	-3.47E-04
883	-3.20E-04
884	-1.97E-04
885	-4.13E-05
886	4.78E-05
887	1.95E-05
888	-9.94E-05
889	-2.49E-04
890	-3.69E-04
891	-4.07E-04
892	-3.46E-04
893	-2.31E-04
894	-1.37E-04
895	-1.06E-04
896	-1.38E-04
897	-2.21E-04
898	-3.34E-04
899	-4.24E-04
900	-4.22E-04
901	-3.02E-04
902	-1.13E-04
903	5.81E-05
904	1.30E-04
905	5.91E-05
906	-1.29E-04
907	-3.25E-04
908	-4.08E-04
909	-3.39E-04
910	-1.87E-04
911	-5.99E-05
912	-3.02E-05
913	-1.07E-04
914	-2.50E-04
915	-4.00E-04
916	-4.95E-04
917	-5.02E-04
918	-4.15E-04
919	-2.57E-04
920	-8.37E-05
921	2.47E-05
922	3.89E-06
923	-1.43E-04
924	-3.25E-04
925	-4.10E-04
926	-3.33E-04
927	-1.45E-04
928	3.83E-05
929	1.03E-04
930	5.35E-06
931	-1.94E-04
932	-3.72E-04
933	-4.53E-04
934	-4.44E-04
935	-3.82E-04
936	-2.97E-04
937	-2.20E-04
938	-1.85E-04
939	-2.16E-04
940	-3.05E-04
941	-4.13E-04
942	-4.74E-04
943	-4.22E-04
944	-2.47E-04
945	-3.96E-05
946	6.70E-05
947	1.36E-05
948	-1.44E-04
949	-2.96E-04
950	-3.52E-04
951	-2.97E-04
952	-2.01E-04
953	-1.53E-04
954	-1.77E-04
955	-2.39E-04
956	-3.02E-04
957	-3.54E-04
958	-4.01E-04
959	-4.37E-04
960	-4.28E-04
961	-3.50E-04
962	-2.34E-04
963	-1.45E-04
964	-1.31E-04
965	-1.92E-04
966	-2.67E-04
967	-2.75E-04
968	-1.93E-04
969	-8.17E-05
970	-3.11E-05
971	-7.83E-05
972	-1.81E-04
973	-2.69E-04
974	-3.08E-04
975	-3.09E-04
976	-3.01E-04
977	-3.14E-04
978	-3.46E-04
979	-3.66E-04
980	-3.52E-04
981	-3.27E-04
982	-3.18E-04
983	-3.15E-04
984	-2.88E-04
985	-2.22E-04
986	-1.42E-04
987	-9.74E-05
988	-1.21E-04
989	-1.97E-04
990	-2.71E-04
991	-2.87E-04
992	-2.46E-04
993	-2.00E-04
994	-2.09E-04
995	-2.80E-04
996	-3.69E-04
997	-4.20E-04
998	-4.10E-04
999	-3.57E-04
1000	-2.99E-04
1001	-2.61E-04
1002	-2.39E-04
1003	-2.26E-04
1004	-2.29E-04
1005	-2.52E-04
1006	-2.74E-04
1007	-2.72E-04
1008	-2.42E-04
1009	-1.94E-04
1010	-1.57E-04
1011	-1.75E-04
1012	-2.63E-04
1013	-3.75E-04
1014	-4.42E-04
1015	-4.29E-04
1016	-3.56E-04
1017	-2.70E-04
1018	-2.18E-04
1019	-2.24E-04
1020	-2.73E-04
1021	-3.26E-04
1022	-3.50E-04
1023	-3.34E-04
1024	-2.82E-04
1025	-2.11E-04
1026	-1.51E-04
1027	-1.32E-04
1028	-1.78E-04
1029	-2.86E-04
1030	-4.07E-04
1031	-4.69E-04
1032	-4.45E-04
1033	-3.62E-04
1034	-2.69E-04
1035	-2.20E-04
1036	-2.44E-04
1037	-3.16E-04
1038	-3.80E-04
1039	-3.97E-04
1040	-3.66E-04
1041	-3.02E-04
1042	-2.19E-04
1043	-1.48E-04
1044	-1.32E-04
1045	-1.91E-04
1046	-2.97E-04
1047	-3.94E-04
1048	-4.36E-04
1049	-4.00E-04
1050	-3.02E-04
1051	-2.06E-04
1052	-1.80E-04
1053	-2.29E-04
1054	-3.15E-04
1055	-3.94E-04
1056	-4.29E-04
1057	-3.98E-04
1058	-3.25E-04
1059	-2.56E-04
1060	-2.21E-04
1061	-2.18E-04
1062	-2.49E-04
1063	-3.13E-04
1064	-3.80E-04
1065	-4.02E-04
1066	-3.52E-04
1067	-2.56E-04
1068	-1.68E-04
1069	-1.30E-04
1070	-1.58E-04
1071	-2.36E-04
1072	-3.17E-04
1073	-3.50E-04
1074	-3.21E-04
1075	-2.74E-04
1076	-2.54E-04
1077	-2.66E-04
1078	-2.97E-04
1079	-3.40E-04
1080	-3.85E-04
1081	-4.15E-04
1082	-4.21E-04
1083	-4.00E-04
1084	-3.45E-04
1085	-2.66E-04
1086	-2.05E-04
1087	-1.90E-04
1088	-2.04E-04
1089	-2.14E-04
1090	-2.08E-04
1091	-1.79E-04
1092	-1.42E-04
1093	-1.34E-04
1094	-1.81E-04
1095	-2.68E-04
1096	-3.52E-04
1097	-4.11E-04
1098	-4.49E-04
1099	-4.79E-04
1100	-4.97E-04
1101	-4.93E-04
1102	-4.64E-04
1103	-4.17E-04
1104	-3.55E-04
1105	-2.84E-04
1106	-2.20E-04
1107	-1.73E-04
1108	-1.26E-04
1109	-7.73E-05
1110	-5.72E-05
1111	-8.22E-05
1112	-1.37E-04
1113	-2.06E-04
1114	-2.81E-04
1115	-3.53E-04
1116	-4.25E-04
1117	-5.05E-04
1118	-5.84E-04
1119	-6.36E-04
1120	-6.33E-04
1121	-5.76E-04
1122	-4.86E-04
1123	-3.84E-04
1124	-2.94E-04
1125	-2.34E-04
1126	-1.95E-04
1127	-1.56E-04
1128	-1.16E-04
1129	-7.96E-05
1130	-5.90E-05
1131	-7.47E-05
1132	-1.39E-04
1133	-2.49E-04
1134	-3.87E-04
1135	-5.22E-04
1136	-6.21E-04
1137	-6.73E-04
1138	-6.71E-04
1139	-6.19E-04
1140	-5.45E-04
1141	-4.81E-04
1142	-4.32E-04
1143	-3.83E-04
1144	-3.24E-04
1145	-2.43E-04
1146	-1.32E-04
1147	-1.85E-05
1148	4.34E-05
1149	1.97E-05
1150	-8.61E-05
1151	-2.39E-04
1152	-3.80E-04
1153	-4.68E-04
1154	-5.07E-04
1155	-5.27E-04
1156	-5.46E-04
1157	-5.71E-04
1158	-5.96E-04
1159	-6.01E-04
1160	-5.69E-04
1161	-4.98E-04
1162	-3.93E-04
1163	-2.59E-04
1164	-1.23E-04
1165	-3.68E-05
1166	-2.52E-05
1167	-8.24E-05
1168	-1.90E-04
1169	-2.95E-04
1170	-3.30E-04
1171	-3.05E-04
1172	-2.89E-04
1173	-3.28E-04
1174	-4.24E-04
1175	-5.49E-04
1176	-6.49E-04
1177	-6.65E-04
1178	-5.89E-04
1179	-4.70E-04
1180	-3.60E-04
1181	-2.78E-04
1182	-2.28E-04
1183	-2.20E-04
1184	-2.49E-04
1185	-2.85E-04
1186	-3.00E-04
1187	-2.79E-04
1188	-2.29E-04
1189	-1.80E-04
1190	-1.86E-04
1191	-2.82E-04
1192	-4.34E-04
1193	-5.58E-04
1194	-5.90E-04
1195	-5.29E-04
1196	-4.19E-04
1197	-3.27E-04
1198	-3.06E-04
1199	-3.54E-04
1200	-4.17E-04
1201	-4.36E-04
1202	-4.05E-04
1203	-3.57E-04
1204	-3.07E-04
1205	-2.59E-04
1206	-2.35E-04
1207	-2.58E-04
1208	-3.15E-04
1209	-3.83E-04
1210	-4.40E-04
1211	-4.51E-04
1212	-3.91E-04
1213	-2.90E-04
1214	-2.26E-04
1215	-2.58E-04
1216	-3.62E-04
1217	-4.64E-04
1218	-5.08E-04
1219	-4.77E-04
1220	-3.93E-04
1221	-3.14E-04
1222	-3.06E-04
1223	-3.69E-04
1224	-4.48E-04
1225	-4.94E-04
1226	-4.92E-04
1227	-4.45E-04
1228	-3.65E-04
1229	-2.81E-04
1230	-2.26E-04
1231	-2.22E-04
1232	-2.66E-04
1233	-3.45E-04
1234	-4.26E-04
1235	-4.54E-04
1236	-4.01E-04
1237	-3.11E-04
1238	-2.58E-04
1239	-2.86E-04
1240	-3.95E-04
1241	-5.40E-04
1242	-6.38E-04
1243	-6.24E-04
1244	-5.09E-04
1245	-3.64E-04
1246	-2.63E-04
1247	-2.42E-04
1248	-2.89E-04
1249	-3.63E-04
1250	-4.12E-04
1251	-4.07E-04
1252	-3.49E-04
1253	-2.65E-04
1254	-1.95E-04
1255	-1.73E-04
1256	-2.22E-04
1257	-3.43E-04
1258	-4.90E-04
1259	-5.93E-04
1260	-5.99E-04
1261	-5.04E-04
1262	-3.58E-04
1263	-2.51E-04
1264	-2.49E-04
1265	-3.52E-04
1266	-4.82E-04
1267	-5.36E-04
1268	-4.77E-04
1269	-3.50E-04
1270	-2.20E-04
1271	-1.44E-04
1272	-1.60E-04
1273	-2.51E-04
1274	-3.61E-04
1275	-4.42E-04
1276	-4.81E-04
1277	-4.73E-04
1278	-4.10E-04
1279	-3.08E-04
1280	-2.32E-04
1281	-2.39E-04
1282	-3.31E-04
1283	-4.61E-04
1284	-5.59E-04
1285	-5.53E-04
1286	-4.30E-04
1287	-2.72E-04
1288	-1.90E-04
1289	-2.28E-04
1290	-3.40E-04
1291	-4.47E-04
1292	-4.93E-04
1293	-4.71E-04
1294	-4.09E-04
1295	-3.45E-04
1296	-3.03E-04
1297	-2.80E-04
1298	-2.67E-04
1299	-2.86E-04
1300	-3.59E-04
1301	-4.42E-04
1302	-4.62E-04
1303	-3.98E-04
1304	-2.96E-04
1305	-2.25E-04
1306	-2.44E-04
1307	-3.57E-04
1308	-4.92E-04
1309	-5.56E-04
1310	-5.23E-04
1311	-4.41E-04
1312	-3.85E-04
1313	-3.93E-04
1314	-4.32E-04
1315	-4.47E-04
1316	-4.21E-04
1317	-3.81E-04
1318	-3.54E-04
1319	-3.48E-04
1320	-3.38E-04
1321	-2.92E-04
1322	-2.30E-04
1323	-2.14E-04
1324	-2.76E-04
1325	-3.78E-04
1326	-4.51E-04
1327	-4.61E-04
1328	-4.18E-04
1329	-3.79E-04
1330	-4.10E-04
1331	-5.09E-04
1332	-5.97E-04
1333	-6.10E-04
1334	-5.48E-04
1335	-4.59E-04
1336	-3.90E-04
1337	-3.62E-04
1338	-3.50E-04
1339	-3.17E-04
1340	-2.63E-04
1341	-2.25E-04
1342	-2.33E-04
1343	-2.68E-04
1344	-2.82E-04
1345	-2.64E-04
1346	-2.49E-04
1347	-2.86E-04
1348	-3.92E-04
1349	-5.30E-04
1350	-6.25E-04
1351	-6.26E-04
1352	-5.54E-04
1353	-4.77E-04
1354	-4.54E-04
1355	-4.76E-04
1356	-4.88E-04
1357	-4.52E-04
1358	-3.76E-04
1359	-2.86E-04
1360	-2.10E-04
1361	-1.68E-04
1362	-1.59E-04
1363	-1.60E-04
1364	-1.82E-04
1365	-2.60E-04
1366	-3.79E-04
1367	-4.77E-04
1368	-5.10E-04
1369	-4.82E-04
1370	-4.31E-04
1371	-4.17E-04
1372	-4.72E-04
