Points	Interferogram
733	-8.25E-06
734	-9.01E-06
735	-9.83E-06
736	-1.06E-05
737	-1.14E-05
738	-1.23E-05
739	-1.32E-05
740	-1.41E-05
741	-1.50E-05
742	-1.59E-05
743	-1.68E-05
744	-1.78E-05
745	-1.88E-05
746	-1.97E-05
747	-2.05E-05
748	-2.14E-05
749	-2.23E-05
750	-2.32E-05
751	-2.40E-05
752	-2.47E-05
753	-2.55E-05
754	-2.62E-05
755	-2.69E-05
756	-2.76E-05
757	-2.82E-05
758	-2.88E-05
759	-2.92E-05
760	-2.97E-05
761	-3.02E-05
762	-3.06E-05
763	-3.09E-05
764	-3.10E-05
765	-3.13E-05
766	-3.15E-05
767	-3.17E-05
768	-3.16E-05
769	-3.16E-05
770	-3.15E-05
771	-3.15E-05
772	-3.14E-05
773	-3.13E-05
774	-3.10E-05
775	-3.07E-05
776	-3.04E-05
777	-3.02E-05
778	-2.99E-05
779	-2.95E-05
780	-2.91E-05
781	-2.88E-05
782	-2.83E-05
783	-2.80E-05
784	-2.76E-05
785	-2.72E-05
786	-2.68E-05
787	-2.65E-05
788	-2.61E-05
789	-2.59E-05
790	-2.55E-05
791	-2.52E-05
792	-2.50E-05
793	-2.49E-05
794	-2.47E-05
795	-2.46E-05
796	-2.45E-05
797	-2.45E-05
798	-2.45E-05
799	-2.47E-05
800	-2.48E-05
801	-2.49E-05
802	-2.52E-05
803	-2.56E-05
804	-2.59E-05
805	-2.63E-05
806	-2.68E-05
807	-2.73E-05
808	-2.79E-05
809	-2.84E-05
810	-2.91E-05
811	-2.99E-05
812	-3.06E-05
813	-3.12E-05
814	-3.20E-05
815	-3.29E-05
816	-3.38E-05
817	-3.45E-05
818	-3.54E-05
819	-3.63E-05
820	-3.73E-05
821	-3.81E-05
822	-3.90E-05
823	-3.98E-05
824	-4.08E-05
825	-4.15E-05
826	-4.23E-05
827	-4.31E-05
828	-4.40E-05
829	-4.46E-05
830	-4.52E-05
831	-4.59E-05
832	-4.67E-05
833	-4.71E-05
834	-4.76E-05
835	-4.80E-05
836	-4.85E-05
837	-4.87E-05
838	-4.91E-05
839	-4.93E-05
840	-4.96E-05
841	-4.95E-05
842	-4.96E-05
843	-4.96E-05
844	-4.98E-05
845	-4.95E-05
846	-4.93E-05
847	-4.91E-05
848	-4.90E-05
849	-4.87E-05
850	-4.83E-05
851	-4.79E-05
852	-4.76E-05
853	-4.71E-05
854	-4.67E-05
855	-4.62E-05
856	-4.57E-05
857	-4.51E-05
858	-4.46E-05
859	-4.40E-05
860	-4.35E-05
861	-4.29E-05
862	-4.23E-05
863	-4.16E-05
864	-4.11E-05
865	-4.06E-05
866	-4.00E-05
867	-3.93E-05
868	-3.88E-05
